,159816,513400,513110,513500,VIG,159934,515450,HK0005
2021-12-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-01-10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-01-11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-01-12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-01-13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-01-16,0.0,0.0,0.0,0.0,0.3698723136200161,0.75,0.0,0.33570281295723026
2023-01-17,0.0,0.0,0.0,0.0,0.3698723136200161,0.75,0.0,0.33570281295723026
2023-01-18,0.0,0.0,0.0,0.0,0.3698723136200161,0.75,0.0,0.33570281295723026
2023-01-19,0.0,0.0,0.0,0.0,0.3698723136200161,0.75,0.0,0.33570281295723026
2023-01-20,0.0,0.0,0.0,0.0,0.3698723136200161,0.75,0.0,0.33570281295723026
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.43993428211890434,0.3069635003430433
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.4399342821189044,0.30696350034304337
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.7499999999999998,0.43993428211890434,0.3069635003430433
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.4399342821189044,0.30696350034304337
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.7499999999999998,0.43993428211890434,0.3069635003430433
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.43993428211890434,0.3069635003430433
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.4399342821189044,0.30696350034304337
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.7499999999999998,0.43993428211890434,0.3069635003430433
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.4399342821189044,0.30696350034304337
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.7499999999999998,0.43993428211890434,0.3069635003430433
2023-02-06,0.08359338087449475,0.0,0.18856073004892593,0.0,0.0,0.5,0.0,0.2278458890765793
2023-02-07,0.08359338087449475,0.0,0.18856073004892593,0.0,0.0,0.5,0.0,0.2278458890765793
2023-02-08,0.08359338087449475,0.0,0.18856073004892593,0.0,0.0,0.5,0.0,0.2278458890765793
2023-02-09,0.08359338087449475,0.0,0.18856073004892593,0.0,0.0,0.5,0.0,0.2278458890765793
2023-02-10,0.08359338087449475,0.0,0.18856073004892593,0.0,0.0,0.5,0.0,0.2278458890765793
2023-02-13,0.0,0.0,0.2776569134245342,0.0,0.0,0.0,0.7313159938995875,0.4087952407428317
2023-02-14,0.0,0.0,0.27765691342453425,0.0,0.0,0.0,0.7313159938995875,0.4087952407428318
2023-02-15,0.0,0.0,0.27765691342453425,0.0,0.0,0.0,0.7313159938995875,0.4087952407428318
2023-02-16,0.0,0.0,0.27765691342453425,0.0,0.0,0.0,0.7313159938995875,0.4087952407428318
2023-02-17,0.0,0.0,0.27765691342453425,0.0,0.0,0.0,0.7313159938995875,0.4087952407428318
2023-02-20,0.13145579444481714,0.0,0.3685442055551828,0.0,0.0,0.0,0.0,0.5
2023-02-21,0.13145579444481714,0.0,0.3685442055551828,0.0,0.0,0.0,0.0,0.5
2023-02-22,0.13145579444481714,0.0,0.3685442055551828,0.0,0.0,0.0,0.0,0.5
2023-02-23,0.13145579444481714,0.0,0.3685442055551828,0.0,0.0,0.0,0.0,0.5
2023-02-24,0.13145579444481714,0.0,0.3685442055551828,0.0,0.0,0.0,0.0,0.5
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5678909764656976,0.4321090235343023
2023-03-13,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-03-14,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-03-15,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-03-16,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-03-17,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-03-20,0.0,0.0,0.3122541042734805,0.0,0.0,0.75,0.2953861917362462,0.0
2023-03-21,0.0,0.0,0.3122541042734805,0.0,0.0,0.75,0.2953861917362462,0.0
2023-03-22,0.0,0.0,0.3122541042734805,0.0,0.0,0.75,0.2953861917362462,0.0
2023-03-23,0.0,0.0,0.3122541042734805,0.0,0.0,0.75,0.2953861917362462,0.0
2023-03-24,0.0,0.0,0.3122541042734805,0.0,0.0,0.75,0.2953861917362462,0.0
2023-03-27,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-03-28,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-03-29,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-03-30,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-03-31,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-03,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-04,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-05,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-06,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-07,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-10,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-11,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-12,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
2023-04-13,0.0,0.0,0.44193811951768236,0.0,0.0,0.6188690224579736,0.40626896198121054,0.0
